ID_Usuario,Nombre,Email,Fecha_Registro,Segmento,Total_Compras,Total_Gastado,Ticket_Promedio,Total_Recargas,Dinero_Recargado,Recarga_Promedio,Productos_Carrito_Actual,Valor_Carrito_Actual,Total_Productos_Agregados,Carritos_Abandonados,Tasa_Conversion,Dias_Desde_Ultima_Compra,Saldo_Actual
1,Gerónimo Julia Cavazos Peres,xbustamante@yahoo.com,2024-06-16,inactivo,0,0.00,0.00,0,0.00,0.00,0,0.00,11,2,0.00,,50.00
2,Vicente Santiago,acedogracia@yahoo.com,2024-06-29,activo,5,2284.89,456.98,2,2895.18,1447.59,0,0.00,12,1,91.67,310,660.29
3,Arcelia Gaytán Quiñones,rpatino@hotmail.com,2025-02-08,nuevo,2,589.96,294.98,1,1281.83,1281.83,0,0.00,9,1,44.44,253,741.87
4,Guiomar Valenciano-Bárcena,gabrielorozco@yahoo.com,2025-09-14,nuevo,1,499.97,499.97,1,1058.51,1058.51,0,0.00,3,0,100.00,9,608.54
5,Cristina Teruel Lladó,dbotello@hotmail.com,2024-06-02,vip,10,8294.75,829.47,4,8449.32,2112.33,0,0.00,25,0,100.00,20,204.57
6,Silvia Ángela Zaragoza,zacarias98@hotmail.com,2025-08-07,activo,6,2634.87,439.14,4,4320.80,1080.20,0,0.00,28,3,46.43,17,1735.93
7,Marisol de Anda,esther06@hotmail.com,2024-07-09,activo,4,2919.85,729.96,2,2987.78,1493.89,0,0.00,25,3,60.00,35,117.93
8,Hernán Rosario,gaitanraquel@hotmail.com,2024-03-07,activo,5,4127.87,825.57,2,5633.73,2816.86,0,0.00,13,0,100.00,153,1555.86
9,Diego Cerdán Carrillo,rnogues@yahoo.com,2025-06-12,inactivo,1,279.98,279.98,1,813.63,813.63,0,0.00,2,0,100.00,157,583.65
10,Karina Martha Urías,jmeraz@yahoo.com,2025-07-05,nuevo,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0,0.00,,50.00
11,Celia Antúnez Mur,maxi32@yahoo.com,2024-06-30,nuevo,2,2159.92,1079.96,1,2567.40,2567.40,0,0.00,8,0,100.00,31,457.48
12,Jacinto Blanch Cabanillas,cortesnatalia@hotmail.com,2024-05-01,activo,8,3614.86,451.86,4,4595.84,1148.96,0,0.00,14,0,100.00,52,1030.98
13,Emiliana de Alemany,olmedoreyes@gmail.com,2025-01-14,nuevo,2,239.97,119.98,1,297.37,297.37,0,0.00,3,0,100.00,22,107.40
14,Víctor Juan Naranjo Sevilla,zeferinogallardo@gmail.com,2025-03-28,activo,6,2529.85,421.64,1,3107.84,3107.84,0,0.00,28,3,53.57,47,627.99
15,María Pilar del Gámez,catalina03@yahoo.com,2024-05-14,nuevo,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0,0.00,,50.00
16,Fernanda Bernat Aguirre,bsamaniego@gmail.com,2024-04-23,nuevo,1,694.95,694.95,1,1252.47,1252.47,0,0.00,5,0,100.00,219,607.52
17,Manuelita Puig,jsalmeron@hotmail.com,2025-08-24,activo,3,2829.88,943.29,2,5822.80,2911.40,0,0.00,12,0,100.00,37,3042.92
18,Jennifer Ángel Benavente,pascualalberola@gmail.com,2024-06-16,nuevo,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0,0.00,,50.00
19,Gilberto Sofía Grijalva,mgaliano@hotmail.com,2024-01-04,nuevo,2,1239.93,619.96,1,1851.92,1851.92,0,0.00,10,2,70.00,130,661.99
20,Jordán Casas Esteban,hermelinda00@yahoo.com,2024-10-01,nuevo,1,679.98,679.98,1,1437.49,1437.49,0,0.00,2,0,100.00,345,807.51
21,Sonia Ojeda,wacuna@gmail.com,2024-05-22,nuevo,2,2349.97,1174.98,2,4448.64,2224.32,0,0.00,3,0,100.00,322,2148.67
22,Visitación Orozco Ribas,rinconxavier@yahoo.com,2024-06-29,vip,13,16254.60,1250.35,6,17160.00,2860.00,0,0.00,43,0,100.00,3,955.44
23,Ángeles Cuéllar,dalia73@gmail.com,2024-09-26,nuevo,0,0.00,0.00,0,0.00,0.00,0,0.00,8,3,0.00,,50.00
24,Sonia Rivero Perales,santiago20@hotmail.com,2025-09-01,nuevo,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0,0.00,,50.00
25,Rodrigo Clara Ayala Reynoso,catalina35@yahoo.com,2025-09-29,nuevo,2,644.96,322.48,1,972.58,972.58,0,0.00,4,0,100.00,,377.62
26,María Ángeles del Arnau,abelardoberrios@yahoo.com,2024-02-13,activo,4,4844.93,1211.23,3,7807.43,2602.48,0,0.00,7,0,100.00,,3012.50
27,Andrea Carbó Portero,rbauza@yahoo.com,2025-03-09,nuevo,2,1789.95,894.97,1,2066.31,2066.31,0,0.00,20,3,25.00,107,326.36
28,Flavio Jonás Palomo,aurena@yahoo.com,2025-01-17,nuevo,1,934.98,934.98,1,2483.68,2483.68,0,0.00,11,2,18.18,168,1598.70
